,DATE,Per_Capita_GDP
0,2004-01-01,52179
1,2004-04-01,52469
2,2004-07-01,52835
3,2004-10-01,53242
4,2005-01-01,53719
5,2005-04-01,53868
6,2005-07-01,54153
7,2005-10-01,54317
8,2006-01-01,54927
9,2006-04-01,54945
10,2006-07-01,54886
11,2006-10-01,55216
12,2007-01-01,55260
13,2007-04-01,55474
14,2007-07-01,55649
15,2007-10-01,55857
16,2008-01-01,55497
17,2008-04-01,55705
18,2008-07-01,55278
19,2008-10-01,53941
20,2009-01-01,53221
21,2009-04-01,53017
22,2009-07-01,53081
23,2009-10-01,53531
24,2010-01-01,53683
25,2010-04-01,54100
26,2010-07-01,54401
27,2010-10-01,54569
28,2011-01-01,54341
29,2011-04-01,54610
30,2011-07-01,54482
31,2011-10-01,54979
32,2012-01-01,55342
33,2012-04-01,55490
34,2012-07-01,55454
35,2012-10-01,55403
36,2013-01-01,55859
37,2013-04-01,55914
38,2013-07-01,56272
39,2013-10-01,56642
40,2014-01-01,56345
41,2014-04-01,56968
42,2014-07-01,57536
43,2014-10-01,57702
44,2015-01-01,58121
45,2015-04-01,58376
46,2015-07-01,58486
47,2015-10-01,58470
48,2016-01-01,58704
49,2016-04-01,58787
50,2016-07-01,59084
51,2016-10-01,59296
52,2017-01-01,59494
53,2017-04-01,59736
54,2017-07-01,60099
55,2017-10-01,60674
56,2018-01-01,61093
57,2018-04-01,61336
58,2018-07-01,61622
59,2018-10-01,61619
60,2019-01-01,61939
61,2019-04-01,62385
62,2019-07-01,63022
63,2019-10-01,63360
64,2020-01-01,62416
65,2020-04-01,57449
66,2020-07-01,61915
67,2020-10-01,62554
68,2021-01-01,63428
69,2021-04-01,64392
70,2021-07-01,64877
71,2021-10-01,65986
72,2022-01-01,65779
73,2022-04-01,65760
74,2022-07-01,66115
75,2022-10-01,66575
76,2023-01-01,66967
77,2023-04-01,67295
78,2023-07-01,67916
79,2023-10-01,68351
80,2024-01-01,68549
81,2024-04-01,68977
82,2024-07-01,69399
