,DATE,MONTHLY_SUPPLY
0,2004-01-01,3.8
1,2004-02-01,3.7
2,2004-03-01,3.6
3,2004-04-01,4.0
4,2004-05-01,3.8
5,2004-06-01,3.9
6,2004-07-01,4.5
7,2004-08-01,4.3
8,2004-09-01,4.1
9,2004-10-01,3.9
10,2004-11-01,4.3
11,2004-12-01,4.1
12,2005-01-01,4.4
13,2005-02-01,4.3
14,2005-03-01,4.1
15,2005-04-01,4.3
16,2005-05-01,4.2
17,2005-06-01,4.3
18,2005-07-01,4.2
19,2005-08-01,4.5
20,2005-09-01,4.7
21,2005-10-01,4.5
22,2005-11-01,5.0
23,2005-12-01,4.9
24,2006-01-01,5.3
25,2006-02-01,6.1
26,2006-03-01,5.9
27,2006-04-01,6.3
28,2006-05-01,6.2
29,2006-06-01,6.3
30,2006-07-01,7.3
31,2006-08-01,6.7
32,2006-09-01,6.7
33,2006-10-01,7.3
34,2006-11-01,6.6
35,2006-12-01,6.5
36,2007-01-01,7.2
37,2007-02-01,7.9
38,2007-03-01,7.9
39,2007-04-01,7.4
40,2007-05-01,7.8
41,2007-06-01,8.2
42,2007-07-01,8.3
43,2007-08-01,9.2
44,2007-09-01,9.2
45,2007-10-01,8.5
46,2007-11-01,9.4
47,2007-12-01,9.6
48,2008-01-01,9.3
49,2008-02-01,9.7
50,2008-03-01,10.5
51,2008-04-01,10.3
52,2008-05-01,10.7
53,2008-06-01,10.7
54,2008-07-01,10.5
55,2008-08-01,11.3
56,2008-09-01,10.9
57,2008-10-01,11.6
58,2008-11-01,11.4
59,2008-12-01,11.2
60,2009-01-01,12.2
61,2009-02-01,10.5
62,2009-03-01,11.0
63,2009-04-01,10.7
64,2009-05-01,9.3
65,2009-06-01,8.5
66,2009-07-01,7.9
67,2009-08-01,7.5
68,2009-09-01,7.8
69,2009-10-01,7.4
70,2009-11-01,7.6
71,2009-12-01,8.0
72,2010-01-01,8.1
73,2010-02-01,8.3
74,2010-03-01,7.1
75,2010-04-01,6.2
76,2010-05-01,9.3
77,2010-06-01,8.3
78,2010-07-01,8.9
79,2010-08-01,8.8
80,2010-09-01,7.6
81,2010-10-01,8.2
82,2010-11-01,8.2
83,2010-12-01,7.0
84,2011-01-01,7.3
85,2011-02-01,8.1
86,2011-03-01,7.2
87,2011-04-01,6.7
88,2011-05-01,6.6
89,2011-06-01,6.6
90,2011-07-01,6.7
91,2011-08-01,6.5
92,2011-09-01,6.3
93,2011-10-01,6.0
94,2011-11-01,5.7
95,2011-12-01,5.3
96,2012-01-01,5.3
97,2012-02-01,4.8
98,2012-03-01,4.9
99,2012-04-01,4.9
100,2012-05-01,4.7
101,2012-06-01,4.8
102,2012-07-01,4.6
103,2012-08-01,4.6
104,2012-09-01,4.5
105,2012-10-01,4.9
106,2012-11-01,4.6
107,2012-12-01,4.5
108,2013-01-01,4.0
109,2013-02-01,4.1
110,2013-03-01,4.2
111,2013-04-01,4.4
112,2013-05-01,4.6
113,2013-06-01,4.1
114,2013-07-01,5.5
115,2013-08-01,5.5
116,2013-09-01,5.4
117,2013-10-01,4.9
118,2013-11-01,5.0
119,2013-12-01,5.2
120,2014-01-01,5.1
121,2014-02-01,5.3
122,2014-03-01,5.6
123,2014-04-01,5.7
124,2014-05-01,5.2
125,2014-06-01,5.7
126,2014-07-01,6.2
127,2014-08-01,5.4
128,2014-09-01,5.4
129,2014-10-01,5.3
130,2014-11-01,5.7
131,2014-12-01,5.1
132,2015-01-01,4.8
133,2015-02-01,4.5
134,2015-03-01,5.1
135,2015-04-01,4.9
136,2015-05-01,5.0
137,2015-06-01,5.4
138,2015-07-01,5.2
139,2015-08-01,5.0
140,2015-09-01,5.9
141,2015-10-01,5.6
142,2015-11-01,5.5
143,2015-12-01,5.1
144,2016-01-01,5.6
145,2016-02-01,5.5
146,2016-03-01,5.5
147,2016-04-01,5.0
148,2016-05-01,5.1
149,2016-06-01,5.3
150,2016-07-01,4.5
151,2016-08-01,5.0
152,2016-09-01,5.2
153,2016-10-01,5.2
154,2016-11-01,5.2
155,2016-12-01,5.4
156,2017-01-01,5.4
157,2017-02-01,5.3
158,2017-03-01,5.0
159,2017-04-01,5.4
160,2017-05-01,5.1
161,2017-06-01,5.3
162,2017-07-01,5.8
163,2017-08-01,6.1
164,2017-09-01,5.3
165,2017-10-01,5.5
166,2017-11-01,4.8
167,2017-12-01,5.6
168,2018-01-01,6.0
169,2018-02-01,5.7
170,2018-03-01,5.2
171,2018-04-01,5.6
172,2018-05-01,5.5
173,2018-06-01,5.8
174,2018-07-01,6.0
175,2018-08-01,6.5
176,2018-09-01,6.6
177,2018-10-01,7.2
178,2018-11-01,6.4
179,2018-12-01,7.6
180,2019-01-01,7.0
181,2019-02-01,6.3
182,2019-03-01,5.6
183,2019-04-01,5.7
184,2019-05-01,6.5
185,2019-06-01,5.4
186,2019-07-01,6.1
187,2019-08-01,5.5
188,2019-09-01,5.4
189,2019-10-01,5.3
190,2019-11-01,5.4
191,2019-12-01,5.5
192,2020-01-01,5.7
193,2020-02-01,5.6
194,2020-03-01,6.4
195,2020-04-01,6.7
196,2020-05-01,5.3
197,2020-06-01,4.0
198,2020-07-01,3.5
199,2020-08-01,3.3
200,2020-09-01,3.5
201,2020-10-01,3.3
202,2020-11-01,3.9
203,2020-12-01,4.1
204,2021-01-01,4.1
205,2021-02-01,4.8
206,2021-03-01,4.3
207,2021-04-01,4.6
208,2021-05-01,5.5
209,2021-06-01,6.0
210,2021-07-01,6.0
211,2021-08-01,6.5
212,2021-09-01,6.2
213,2021-10-01,6.7
214,2021-11-01,5.9
215,2021-12-01,5.6
216,2022-01-01,5.9
217,2022-02-01,6.1
218,2022-03-01,6.9
219,2022-04-01,8.2
220,2022-05-01,8.1
221,2022-06-01,9.9
222,2022-07-01,10.6
