,DATE,PI
0,2004-01-01,9731.8
1,2004-02-01,9765.4
2,2004-03-01,9815.8
3,2004-04-01,9865.8
4,2004-05-01,9950.0
5,2004-06-01,9988.4
6,2004-07-01,10033.0
7,2004-08-01,10078.2
8,2004-09-01,10110.5
9,2004-10-01,10159.3
10,2004-11-01,10171.5
11,2004-12-01,10520.8
12,2005-01-01,10247.0
13,2005-02-01,10282.7
14,2005-03-01,10347.9
15,2005-04-01,10412.1
16,2005-05-01,10464.1
17,2005-06-01,10498.0
18,2005-07-01,10558.3
19,2005-08-01,10619.6
20,2005-09-01,10687.7
21,2005-10-01,10767.3
22,2005-11-01,10815.4
23,2005-12-01,10853.1
24,2006-01-01,11038.6
25,2006-02-01,11102.6
26,2006-03-01,11171.8
27,2006-04-01,11229.5
28,2006-05-01,11251.1
29,2006-06-01,11292.8
30,2006-07-01,11322.1
31,2006-08-01,11346.8
32,2006-09-01,11383.9
33,2006-10-01,11417.8
34,2006-11-01,11479.3
35,2006-12-01,11587.6
36,2007-01-01,11647.1
37,2007-02-01,11734.2
38,2007-03-01,11821.4
39,2007-04-01,11868.1
40,2007-05-01,11908.7
41,2007-06-01,11929.2
42,2007-07-01,11955.7
43,2007-08-01,11963.1
44,2007-09-01,12025.5
45,2007-10-01,12046.8
46,2007-11-01,12102.8
47,2007-12-01,12182.7
48,2008-01-01,12227.8
49,2008-02-01,12264.9
50,2008-03-01,12314.7
51,2008-04-01,12302.6
52,2008-05-01,12879.3
53,2008-06-01,12661.0
54,2008-07-01,12514.8
55,2008-08-01,12426.0
56,2008-09-01,12445.0
57,2008-10-01,12446.5
58,2008-11-01,12387.1
59,2008-12-01,12238.5
60,2009-01-01,12125.6
61,2009-02-01,12007.4
62,2009-03-01,11965.3
63,2009-04-01,12009.4
64,2009-05-01,12179.6
65,2009-06-01,12042.9
66,2009-07-01,11998.4
67,2009-08-01,12011.2
68,2009-09-01,12061.1
69,2009-10-01,12069.4
70,2009-11-01,12129.6
71,2009-12-01,12188.2
72,2010-01-01,12267.7
73,2010-02-01,12267.6
74,2010-03-01,12330.9
75,2010-04-01,12441.8
76,2010-05-01,12543.7
77,2010-06-01,12550.7
78,2010-07-01,12588.7
79,2010-08-01,12652.9
80,2010-09-01,12673.4
81,2010-10-01,12723.6
82,2010-11-01,12765.5
83,2010-12-01,12873.1
84,2011-01-01,13080.7
85,2011-02-01,13155.6
86,2011-03-01,13178.2
87,2011-04-01,13212.8
88,2011-05-01,13239.1
89,2011-06-01,13295.7
90,2011-07-01,13375.8
91,2011-08-01,13400.3
92,2011-09-01,13401.5
93,2011-10-01,13406.4
94,2011-11-01,13419.7
95,2011-12-01,13548.9
96,2012-01-01,13631.6
97,2012-02-01,13731.1
98,2012-03-01,13798.5
99,2012-04-01,13868.1
100,2012-05-01,13850.3
101,2012-06-01,13837.1
102,2012-07-01,13752.9
103,2012-08-01,13768.5
104,2012-09-01,13914.1
105,2012-10-01,14049.2
106,2012-11-01,14230.7
107,2012-12-01,14581.4
108,2013-01-01,13880.4
109,2013-02-01,13902.0
110,2013-03-01,13932.2
111,2013-04-01,13974.9
112,2013-05-01,14052.5
113,2013-06-01,14083.9
114,2013-07-01,14072.0
115,2013-08-01,14117.3
116,2013-09-01,14181.7
117,2013-10-01,14152.3
118,2013-11-01,14209.6
119,2013-12-01,14266.5
120,2014-01-01,14369.2
121,2014-02-01,14456.4
122,2014-03-01,14555.0
123,2014-04-01,14624.5
124,2014-05-01,14689.5
125,2014-06-01,14760.1
126,2014-07-01,14821.1
127,2014-08-01,14894.2
128,2014-09-01,14951.2
129,2014-10-01,15022.7
130,2014-11-01,15094.0
131,2014-12-01,15170.9
132,2015-01-01,15230.8
133,2015-02-01,15313.3
134,2015-03-01,15314.2
135,2015-04-01,15373.5
136,2015-05-01,15442.7
137,2015-06-01,15479.0
138,2015-07-01,15518.6
139,2015-08-01,15550.5
140,2015-09-01,15570.5
141,2015-10-01,15608.0
142,2015-11-01,15615.4
143,2015-12-01,15668.4
144,2016-01-01,15695.5
145,2016-02-01,15695.9
146,2016-03-01,15731.6
147,2016-04-01,15758.9
148,2016-05-01,15777.2
149,2016-06-01,15821.4
150,2016-07-01,15891.5
151,2016-08-01,15931.3
152,2016-09-01,15999.1
153,2016-10-01,16059.4
154,2016-11-01,16107.6
155,2016-12-01,16182.5
156,2017-01-01,16293.3
157,2017-02-01,16363.5
158,2017-03-01,16415.1
159,2017-04-01,16476.0
160,2017-05-01,16573.2
161,2017-06-01,16604.0
162,2017-07-01,16665.9
163,2017-08-01,16733.7
164,2017-09-01,16841.9
165,2017-10-01,16930.8
166,2017-11-01,16997.5
167,2017-12-01,17058.2
168,2018-01-01,17141.7
169,2018-02-01,17204.1
170,2018-03-01,17268.2
171,2018-04-01,17328.7
172,2018-05-01,17404.4
173,2018-06-01,17488.4
174,2018-07-01,17587.6
175,2018-08-01,17664.0
176,2018-09-01,17693.5
177,2018-10-01,17749.8
178,2018-11-01,17795.7
179,2018-12-01,18012.4
180,2019-01-01,18078.6
181,2019-02-01,18152.9
182,2019-03-01,18226.6
183,2019-04-01,18266.8
184,2019-05-01,18286.9
185,2019-06-01,18324.3
186,2019-07-01,18342.4
187,2019-08-01,18432.4
188,2019-09-01,18477.3
189,2019-10-01,18546.3
190,2019-11-01,18629.5
191,2019-12-01,18594.0
192,2020-01-01,18809.4
193,2020-02-01,18913.6
194,2020-03-01,18584.4
195,2020-04-01,20760.2
196,2020-05-01,19888.0
197,2020-06-01,19934.5
198,2020-07-01,20186.3
199,2020-08-01,19579.7
200,2020-09-01,19736.8
201,2020-10-01,19731.7
202,2020-11-01,19581.1
203,2020-12-01,19735.3
204,2021-01-01,21764.6
205,2021-02-01,20244.7
206,2021-03-01,24457.2
207,2021-04-01,21290.3
208,2021-05-01,20886.6
209,2021-06-01,20927.4
210,2021-07-01,21157.2
211,2021-08-01,21208.9
212,2021-09-01,21080.3
213,2021-10-01,21242.9
214,2021-11-01,21351.5
215,2021-12-01,21422.3
216,2022-01-01,21424.5
217,2022-02-01,21572.9
218,2022-03-01,21674.7
219,2022-04-01,21754.3
220,2022-05-01,21848.2
221,2022-06-01,21956.3
222,2022-07-01,22163.7
223,2022-08-01,22304.0
224,2022-09-01,22431.8
225,2022-10-01,22579.7
226,2022-11-01,22638.2
227,2022-12-01,22718.6
228,2023-01-01,22855.1
229,2023-02-01,22984.2
230,2023-03-01,23104.4
231,2023-04-01,23194.0
232,2023-05-01,23299.8
233,2023-06-01,23372.5
234,2023-07-01,23427.8
235,2023-08-01,23533.1
236,2023-09-01,23636.2
237,2023-10-01,23708.3
238,2023-11-01,23812.0
239,2023-12-01,23903.1
240,2024-01-01,24226.7
241,2024-02-01,24330.9
242,2024-03-01,24474.9
243,2024-04-01,24511.1
244,2024-05-01,24584.2
245,2024-06-01,24626.7
246,2024-07-01,24700.4
247,2024-08-01,24754.3
248,2024-09-01,24842.5
249,2024-10-01,25008.4
250,2024-11-01,25079.5
