,DATE,UNEMPLOYMENT_RATE
0,2004-01-01,5.7
1,2004-02-01,5.6
2,2004-03-01,5.8
3,2004-04-01,5.6
4,2004-05-01,5.6
5,2004-06-01,5.6
6,2004-07-01,5.5
7,2004-08-01,5.4
8,2004-09-01,5.4
9,2004-10-01,5.5
10,2004-11-01,5.4
11,2004-12-01,5.4
12,2005-01-01,5.3
13,2005-02-01,5.4
14,2005-03-01,5.2
15,2005-04-01,5.2
16,2005-05-01,5.1
17,2005-06-01,5.0
18,2005-07-01,5.0
19,2005-08-01,4.9
20,2005-09-01,5.0
21,2005-10-01,5.0
22,2005-11-01,5.0
23,2005-12-01,4.9
24,2006-01-01,4.7
25,2006-02-01,4.8
26,2006-03-01,4.7
27,2006-04-01,4.7
28,2006-05-01,4.6
29,2006-06-01,4.6
30,2006-07-01,4.7
31,2006-08-01,4.7
32,2006-09-01,4.5
33,2006-10-01,4.4
34,2006-11-01,4.5
35,2006-12-01,4.4
36,2007-01-01,4.6
37,2007-02-01,4.5
38,2007-03-01,4.4
39,2007-04-01,4.5
40,2007-05-01,4.4
41,2007-06-01,4.6
42,2007-07-01,4.7
43,2007-08-01,4.6
44,2007-09-01,4.7
45,2007-10-01,4.7
46,2007-11-01,4.7
47,2007-12-01,5.0
48,2008-01-01,5.0
49,2008-02-01,4.9
50,2008-03-01,5.1
51,2008-04-01,5.0
52,2008-05-01,5.4
53,2008-06-01,5.6
54,2008-07-01,5.8
55,2008-08-01,6.1
56,2008-09-01,6.1
57,2008-10-01,6.5
58,2008-11-01,6.8
59,2008-12-01,7.3
60,2009-01-01,7.8
61,2009-02-01,8.3
62,2009-03-01,8.7
63,2009-04-01,9.0
64,2009-05-01,9.4
65,2009-06-01,9.5
66,2009-07-01,9.5
67,2009-08-01,9.6
68,2009-09-01,9.8
69,2009-10-01,10.0
70,2009-11-01,9.9
71,2009-12-01,9.9
72,2010-01-01,9.8
73,2010-02-01,9.8
74,2010-03-01,9.9
75,2010-04-01,9.9
76,2010-05-01,9.6
77,2010-06-01,9.4
78,2010-07-01,9.4
79,2010-08-01,9.5
80,2010-09-01,9.5
81,2010-10-01,9.4
82,2010-11-01,9.8
83,2010-12-01,9.3
84,2011-01-01,9.1
85,2011-02-01,9.0
86,2011-03-01,9.0
87,2011-04-01,9.1
88,2011-05-01,9.0
89,2011-06-01,9.1
90,2011-07-01,9.0
91,2011-08-01,9.0
92,2011-09-01,9.0
93,2011-10-01,8.8
94,2011-11-01,8.6
95,2011-12-01,8.5
96,2012-01-01,8.3
97,2012-02-01,8.3
98,2012-03-01,8.2
99,2012-04-01,8.2
100,2012-05-01,8.2
101,2012-06-01,8.2
102,2012-07-01,8.2
103,2012-08-01,8.1
104,2012-09-01,7.8
105,2012-10-01,7.8
106,2012-11-01,7.7
107,2012-12-01,7.9
108,2013-01-01,8.0
109,2013-02-01,7.7
110,2013-03-01,7.5
111,2013-04-01,7.6
112,2013-05-01,7.5
113,2013-06-01,7.5
114,2013-07-01,7.3
115,2013-08-01,7.2
116,2013-09-01,7.2
117,2013-10-01,7.2
118,2013-11-01,6.9
119,2013-12-01,6.7
120,2014-01-01,6.6
121,2014-02-01,6.7
122,2014-03-01,6.7
123,2014-04-01,6.2
124,2014-05-01,6.3
125,2014-06-01,6.1
126,2014-07-01,6.2
127,2014-08-01,6.1
128,2014-09-01,5.9
129,2014-10-01,5.7
130,2014-11-01,5.8
131,2014-12-01,5.6
132,2015-01-01,5.7
133,2015-02-01,5.5
134,2015-03-01,5.4
135,2015-04-01,5.4
136,2015-05-01,5.6
137,2015-06-01,5.3
138,2015-07-01,5.2
139,2015-08-01,5.1
140,2015-09-01,5.0
141,2015-10-01,5.0
142,2015-11-01,5.1
143,2015-12-01,5.0
144,2016-01-01,4.8
145,2016-02-01,4.9
146,2016-03-01,5.0
147,2016-04-01,5.1
148,2016-05-01,4.8
149,2016-06-01,4.9
150,2016-07-01,4.8
151,2016-08-01,4.9
152,2016-09-01,5.0
153,2016-10-01,4.9
154,2016-11-01,4.7
155,2016-12-01,4.7
156,2017-01-01,4.7
157,2017-02-01,4.6
158,2017-03-01,4.4
159,2017-04-01,4.4
160,2017-05-01,4.4
161,2017-06-01,4.3
162,2017-07-01,4.3
163,2017-08-01,4.4
164,2017-09-01,4.3
165,2017-10-01,4.2
166,2017-11-01,4.2
167,2017-12-01,4.1
168,2018-01-01,4.0
169,2018-02-01,4.1
170,2018-03-01,4.0
171,2018-04-01,4.0
172,2018-05-01,3.8
173,2018-06-01,4.0
174,2018-07-01,3.8
175,2018-08-01,3.8
176,2018-09-01,3.7
177,2018-10-01,3.8
178,2018-11-01,3.8
179,2018-12-01,3.9
180,2019-01-01,4.0
181,2019-02-01,3.8
182,2019-03-01,3.8
183,2019-04-01,3.7
184,2019-05-01,3.6
185,2019-06-01,3.6
186,2019-07-01,3.7
187,2019-08-01,3.6
188,2019-09-01,3.5
189,2019-10-01,3.6
190,2019-11-01,3.6
191,2019-12-01,3.6
192,2020-01-01,3.6
193,2020-02-01,3.5
194,2020-03-01,4.4
195,2020-04-01,14.8
196,2020-05-01,13.2
197,2020-06-01,11.0
198,2020-07-01,10.2
199,2020-08-01,8.4
200,2020-09-01,7.8
201,2020-10-01,6.8
202,2020-11-01,6.7
203,2020-12-01,6.7
204,2021-01-01,6.4
205,2021-02-01,6.2
