DATE,CS_INDEX,COST,EMP_TO_POP_RATIO,Per_Capita_GDP,INFLATION,INTEREST_RATES,MONTHLY_SUPPLY,PI,TOTAL_POPULATION,UNEMPLOYMENT_RATE
2004-01-01,141.64700000000002,150.0,62.3,52179.0,186.3,1.0,3.8,9731.8,292046.0,5.7
2004-02-01,143.192,153.4,62.3,0.0,186.7,1.01,3.7,9765.4,292230.0,5.6
2004-03-01,145.059,156.5,62.2,0.0,187.1,1.0,3.6,9815.8,292434.0,5.8
2004-04-01,146.593,160.1,62.3,52469.0,187.4,1.0,4.0,9865.8,292651.0,5.6
2004-05-01,148.187,162.7,62.3,0.0,188.2,1.0,3.8,9950.0,292872.0,5.6
2004-06-01,149.852,162.0,62.4,0.0,188.9,1.03,3.9,9988.4,293103.0,5.6
2004-07-01,151.34,162.2,62.5,52835.0,189.1,1.26,4.5,10033.0,293350.0,5.5
2004-08-01,152.635,165.9,62.4,0.0,189.2,1.43,4.3,10078.2,293603.0,5.4
2004-09-01,154.181,167.2,62.3,0.0,189.8,1.61,4.1,10110.5,293857.0,5.4
2004-10-01,155.752,165.9,62.3,53242.0,190.8,1.76,3.9,10159.3,294104.0,5.5
2004-11-01,157.529,165.5,62.5,0.0,191.7,1.93,4.3,10171.5,294337.0,5.4
2004-12-01,159.332,166.3,62.4,0.0,191.7,2.16,4.1,10520.8,294561.0,5.4
2005-01-01,161.289,168.6,62.4,53719.0,191.6,2.28,4.4,10247.0,294768.0,5.3
2005-02-01,163.346,170.4,62.4,0.0,192.4,2.5,4.3,10282.7,294955.0,5.4
2005-03-01,165.81400000000002,170.0,62.4,0.0,193.1,2.63,4.1,10347.9,295149.0,5.2
2005-04-01,167.503,170.0,62.7,53868.0,193.7,2.79,4.3,10412.1,295359.0,5.2
2005-05-01,169.352,168.1,62.8,0.0,193.6,3.0,4.2,10464.1,295582.0,5.1
2005-06-01,171.192,167.8,62.7,0.0,193.7,3.04,4.3,10498.0,295824.0,5.0
2005-07-01,172.861,167.2,62.8,54153.0,194.9,3.26,4.2,10558.3,296077.0,5.0
2005-08-01,174.44299999999998,165.9,62.9,0.0,196.1,3.5,4.5,10619.6,296338.0,4.9
2005-09-01,176.43900000000002,168.9,62.8,0.0,198.8,3.62,4.7,10687.7,296606.0,5.0
2005-10-01,178.028,171.6,62.8,54317.0,199.1,3.78,4.5,10767.3,296857.0,5.0
2005-11-01,179.68200000000002,172.7,62.7,0.0,198.1,4.0,5.0,10815.4,297089.0,5.0
2005-12-01,180.911,173.5,62.8,0.0,198.1,4.16,4.9,10853.1,297311.0,4.9
2006-01-01,182.322,177.2,62.9,54927.0,199.3,4.29,5.3,11038.6,297526.0,4.7
2006-02-01,183.289,177.7,63.0,0.0,199.4,4.49,6.1,11102.6,297734.0,4.8
2006-03-01,184.365,178.3,63.1,0.0,199.7,4.59,5.9,11171.8,297950.0,4.7
2006-04-01,184.33,179.0,63.0,54945.0,200.7,4.79,6.3,11229.5,298170.0,4.7
2006-05-01,184.156,179.9,63.1,0.0,201.3,4.94,6.2,11251.1,298401.0,4.6
2006-06-01,183.507,180.7,63.1,0.0,201.8,4.99,6.3,11292.8,298653.0,4.6
